city_name,population,country_code,timezone,latitude,longitude
Lipa City,212287,PH,Asia/Manila,13.9411,121.1631
Lipetsk,509735,RU,Europe/Moscow,52.60311,39.57076
Lira,119323,UG,Africa/Kampala,2.2499,32.89985
Lisala,117464,CD,Africa/Kinshasa,2.15127,21.51672
Lisbon,517802,PT,Europe/Lisbon,38.71667,-9.13333
Lishui,451418,CN,Asia/Shanghai,28.46042,119.91029
Little Rock,197992,US,America/Chicago,34.74648,-92.28959
Liupanshui,1320825,CN,Asia/Shanghai,26.59444,104.83333
Liuzhi,138826,CN,Asia/Shanghai,26.2342,105.426
Liuzhou,1436599,CN,Asia/Shanghai,24.32405,109.40698
Liverpool,864122,GB,Europe/London,53.41058,-2.97794
Livingstone,178361,ZM,Africa/Lusaka,-17.84194,25.85425
Livorno,157017,IT,Europe/Rome,43.54427,10.32615
Lizhi,156753,CN,Asia/Shanghai,29.70317,107.39521
Liège,195278,BE,Europe/Brussels,50.63373,5.56749
Ljubljana,272220,SI,Europe/Ljubljana,46.05108,14.50513
Lleida,137856,ES,Europe/Madrid,41.61674,0.62218
Lo Prado,104316,CL,America/Santiago,-33.4443,-70.72552
Loa Janan,212816,ID,Asia/Makassar,-0.58295,117.09503
Lobito,357950,AO,Africa/Luanda,-12.3644,13.53601
Logan City,326615,AU,Australia/Brisbane,-27.63917,153.10944
Logroño,152485,ES,Europe/Madrid,42.46667,-2.45
Loja,274112,EC,America/Guayaquil,-3.99313,-79.20422
Lomé,2188376,TG,Africa/Lome,6.12874,1.22154
London,346765,CA,America/Toronto,42.98339,-81.23304
London,8961989,GB,Europe/London,51.50853,-0.12574
Londrina,588125,BR,America/Sao_Paulo,-23.31028,-51.16278
Long Beach,474140,US,America/Los_Angeles,33.76696,-118.18923
Long Xuyên,272365,VN,Asia/Ho_Chi_Minh,10.38639,105.43518
Longfeng,152074,CN,Asia/Shanghai,46.53168,125.1038
Longjiang,106384,CN,Asia/Shanghai,47.33601,123.196
Longjing,117185,CN,Asia/Shanghai,42.77131,129.42307
Longling County,270000,CN,Asia/Shanghai,24.58663,98.68934
Longshan,465249,CN,Asia/Shanghai,42.88545,125.1367
Longshui,121609,CN,Asia/Shanghai,29.56555,105.76205
Longueuil,229330,CA,America/Toronto,45.5152,-73.46818
Longyan,1025087,CN,Asia/Shanghai,25.07485,117.01775
Loni,164810,IN,Asia/Kolkata,28.75143,77.29023
Los Angeles,3898747,US,America/Los_Angeles,34.05223,-118.24368
Los Mochis,256613,MX,America/Mazatlan,25.79302,-108.99808
Los Puertos de Altagracia,101527,VE,America/Caracas,10.71492,-71.52168
Los Rastrojos,100497,VE,America/Caracas,10.02588,-69.24166
Los Teques,252242,VE,America/Caracas,10.34447,-67.04325
Los Ángeles,125430,CL,America/Santiago,-37.46973,-72.35366
Loudi,497171,CN,Asia/Shanghai,27.73444,111.99444
Louga,104349,SN,Africa/Dakar,15.61867,-16.22436
Louisville,243639,US,America/Kentucky/Louisville,38.25424,-85.75941
Lowell,110699,US,America/New_York,42.63342,-71.31617
Lower Hutt,114000,NZ,Pacific/Auckland,-41.21667,174.91667
Lu'an,1644344,CN,Asia/Shanghai,31.73561,116.51688
Luancheng,597130,CN,Asia/Shanghai,37.88452,114.64629
Luanda,2776168,AO,Africa/Luanda,-8.83682,13.23432
Luanshya,193293,ZM,Africa/Lusaka,-13.13667,28.41661
Lubango,600751,AO,Africa/Luanda,-14.91717,13.4925
Lubbock,249042,US,America/Chicago,33.57786,-101.85517
Lublin,360044,PL,Europe/Warsaw,51.25,22.56667
Lubuklinggau,234166,ID,Asia/Jakarta,-3.2945,102.8614
Lubumbashi,2221925,CD,Africa/Lubumbashi,-11.66089,27.47938
Lucapa,110000,AO,Africa/Luanda,-8.41915,20.74466
Lucena,228758,PH,Asia/Manila,13.93139,121.61722
Lucknow,2472011,IN,Asia/Kolkata,26.83928,80.92313
Ludhiāna,1545368,IN,Asia/Kolkata,30.91204,75.85379
Ludwigshafen am Rhein,163196,DE,Europe/Berlin,49.48121,8.44641
Luena,273675,AO,Africa/Luanda,-11.78333,19.91667
Lugazi,128400,UG,Africa/Kampala,0.36788,32.9376
Luhansk,397677,UA,Europe/Kyiv,48.56952,39.32857
Lumajang,123626,ID,Asia/Jakarta,-8.1335,113.2248
Luohe,1294974,CN,Asia/Shanghai,33.56394,114.04272
Luojiang,212186,CN,Asia/Shanghai,31.30497,104.50484
Luoyang,1390581,CN,Asia/Shanghai,34.68361,112.45361
Luoyang,123144,CN,Asia/Shanghai,23.16244,114.27342
Lusaka,2212301,ZM,Africa/Lusaka,-15.40669,28.28713
Luton,225262,GB,Europe/London,51.87967,-0.41748
Lutsk,215986,UA,Europe/Kyiv,50.75932,25.34244
Luxor,422407,EG,Africa/Cairo,25.69893,32.6421
Luzhou,998900,CN,Asia/Shanghai,28.8903,105.42575
Luziânia,143601,BR,America/Sao_Paulo,-16.2525,-47.95028
Lviv,717273,UA,Europe/Kyiv,49.83826,24.02324
Lyon,522969,FR,Europe/Paris,45.74846,4.84671
Lyon 03,102725,FR,Europe/Paris,45.76124,4.85184
Lyubertsy,154650,RU,Europe/Moscow,55.67719,37.89322
Lyublino,172000,RU,Europe/Moscow,55.67738,37.76005
Lárisa,146926,GR,Europe/Athens,39.63689,22.41761
Léogâne,134190,HT,America/Port-au-Prince,18.5111,-72.63343
Lévis,143414,CA,America/Toronto,46.80326,-71.17793
Lübeck,212207,DE,Europe/Berlin,53.86893,10.68729
M'Sila,132975,DZ,Africa/Algiers,35.70889,4.53722
Ma On Shan,215200,HK,Asia/Hong_Kong,22.40613,114.24079
Ma'anshan,741531,CN,Asia/Shanghai,31.68579,118.51008
Maastricht,122378,NL,Europe/Amsterdam,50.84833,5.68889
Maba,113609,CN,Asia/Shanghai,24.68413,113.59839
Mabalacat City,188050,PH,Asia/Manila,15.22303,120.57117
Mabopane,110972,ZA,Africa/Johannesburg,-25.509,28.064
Macapá,512902,BR,America/Belem,0.03889,-51.06639
Macau,649335,MO,Asia/Macau,22.20056,113.54611
Macaé,143029,BR,America/Sao_Paulo,-22.38484,-41.78324
Maceió,1031597,BR,America/Maceio,-9.66583,-35.73528
Machala,289141,EC,America/Guayaquil,-3.25861,-79.96053
Macheng,126366,CN,Asia/Shanghai,31.18013,115.02213
Machida,431079,JP,Asia/Tokyo,35.54028,139.45083
Machilīpatnam,192827,IN,Asia/Kolkata,16.18747,81.13888
Machiques,132734,VE,America/Caracas,10.06077,-72.55212
Mackay,123183,AU,Australia/Brisbane,-21.15345,149.16554
Madanapalle,180180,IN,Asia/Kolkata,13.5503,78.50288
